Category,Title,URL_Title,Authors,Event,Date,Box
ANAIS DE EVENTO,On the Interaction between Software Engineers and Data Scientists when Building Machine Learning-Enabled Systems,https://sol.sbc.org.br/index.php/sbqs/article/view/39048,"Busquim, Gabriel; Lima, Maria Julia; Kalinowski, Marcos",PROCEEDINGS OF THE BRAZILIAN SOFTWARE QUALITY SYMPOSIUM (SBQS),2025-11-04,Caixa 1
ANAIS DE EVENTO,Smart Prediction for Test Smell Refactorings,https://sol.sbc.org.br/index.php/sbqs/article/view/39045,"Martins, Luana; Costa, Heitor; Palomba, Fabio; Machado, Ivan",PROCEEDINGS OF THE BRAZILIAN SOFTWARE QUALITY SYMPOSIUM (SBQS),2025-11-04,Caixa 1
ANAIS DE EVENTO,Code Smells and Refactorings for Elixir,https://sol.sbc.org.br/index.php/sbqs/article/view/39046,"Vegi, Lucas Francisco da Matta; Valente, Marco Tulio",PROCEEDINGS OF THE BRAZILIAN SOFTWARE QUALITY SYMPOSIUM (SBQS),2025-11-04,Caixa 1
ANAIS DE EVENTO,Prefácio e Organização,https://sol.sbc.org.br/index.php/eniac/article/view/38701,"Santos, Hélida Salles; Recamonde-Mendoza, Mariana",PROCEEDINGS OF THE NATIONAL MEETING ON ARTIFICIAL AND COMPUTATIONAL INTELLIGENCE (ENIAC),2025-09-29,Caixa 1
ANAIS DE EVENTO,Strengthening Scientific Integrity: Digital Forensics for Biomedical Research Imaging,https://sol.sbc.org.br/index.php/sibgrapi_estendido/article/view/38268,"Cardenuto, João Phillipe; Moreira, Daniel; Rocha, Anderson","COMPANION PROCEEDINGS OF THE CONFERENCE ON GRAPHICS, PATTERNS AND IMAGES (SIBGRAPI)",2025-09-30,Caixa 1
ANAIS DE EVENTO,Self-supervised learning for fully unsupervised re-identification in real-world applications,https://sol.sbc.org.br/index.php/sibgrapi_estendido/article/view/38266,"Bertocco, Gabriel; Andaló, Fernanda; Rocha, Anderson","COMPANION PROCEEDINGS OF THE CONFERENCE ON GRAPHICS, PATTERNS AND IMAGES (SIBGRAPI)",2025-09-30,Caixa 1
ANAIS DE EVENTO,Socially Responsible and Explainable Automated Fact-Checking and Hate Speech Detection,https://sol.sbc.org.br/index.php/webmedia_estendido/article/view/38154,"Vargas, Francielle; Pardo, Thiago; Benevenuto, Fabrício",ANAIS ESTENDIDOS DO SIMPóSIO BRASILEIRO DE SISTEMAS MULTIMíDIA E WEB (WEBMEDIA),2025-11-10,Caixa 1
ANAIS DE EVENTO,Prefácio e Organização,https://sol.sbc.org.br/index.php/webmedia/article/view/37940,"Soares Neto, Carlos de Salles; Macedo, Alessandra Alaniz",PROCEEDINGS OF THE BRAZILIAN SYMPOSIUM ON MULTIMEDIA AND THE WEB (WEBMEDIA),2025-11-10,Caixa 1
ANAIS DE EVENTO,Prefácio e Organização,https://sol.sbc.org.br/index.php/wesaac/article/view/37524,"Lazarin, Nilson Mori; Freitas, Bruno Policarpo Toledo","ANAIS DO WORKSHOP-ESCOLA DE SISTEMAS DE AGENTES, SEUS AMBIENTES E APLICAçõES (WESAAC)",2025-09-29,Caixa 1
ANAIS DE EVENTO,Front Matter,https://sol.sbc.org.br/index.php/se4fp/article/view/37099,"Albonico, Michel; Neto, Adolfo; Vegi, Lucas; Valente, Marco Tulio",PROCEEDINGS OF THE WORKSHOP ON SOFTWARE ENGINEERING FOR FUNCTIONAL PROGRAMMING (SE4FP),2025-09-23,Caixa 1
ANAIS DE EVENTO,Front Matter,https://sol.sbc.org.br/index.php/sbes/article/view/36980,"Teixeira, Leopoldo; Vergilio, Silvia; Canedo, Edna Dias; Maia, Marcelo; Machado, Ivan; Barcellos, Monalessa; Souza, Cleidson R. B. de; Colanzi, Thelma E.; França, César; Kohl, Karina",PROCEEDINGS OF THE BRAZILIAN SYMPOSIUM ON SOFTWARE ENGINEERING (SBES),2025-09-22,Caixa 1
ANAIS DE EVENTO,Front Matter,https://sol.sbc.org.br/index.php/sblp/article/view/36941,"Gualandi, Hugo Musso; Maidl, Andre Murbach",PROCEEDINGS OF THE BRAZILIAN SYMPOSIUM ON PROGRAMMING LANGUAGES (SBLP),2025-09-22,Caixa 1
ANAIS DE EVENTO,Front Matter,https://sol.sbc.org.br/index.php/sbcars/article/view/36968,"Amaral, Aline Miotto; Uchôa, Anderson","PROCEEDINGS OF THE BRAZILIAN SYMPOSIUM ON SOFTWARE COMPONENTS, ARCHITECTURES, AND REUSE (SBCARS)",2025-09-22,Caixa 1
