,Event,Authors,Title,Abstract,Keywords,Publisher,URL_Paper,Date
0,"



				Início
			
/



				Todas as Edições
			
/



				2021: Anais do XXVII Workshop de Informática na Escola
			
/


									Artigos Completos
						

",Maria Erilane L. da SilvaUniversidade Federal do Cearáhttp://orcid.org/0000-0001-5624-9356Anny Alice L. GamaUniversidade Federal do CearáFrancisco Victor da S. PinheiroUniversidade Federal do Cearáhttp://orcid.org/0000-0002-5693-0499Carla I. M. BezerraUniversidade Federal do Cearáhttp://orcid.org/0000-0002-5879-5067Wladimir A. TavaresUniversidade Federal do CearáPaulo de Tarso G. OliveiraUniversidade Federal do Ceará,A Experiência do Letramento Digital para Professores Municipais do Ensino Básico Durante a Pandemia COVID-19,"ResumoEste trabalho tem como objetivo apresentar um relato de experiência sobre o letramento digital ministrado para professores da rede municipal de ensino de Quixadá, como ação de extensão da Universidade Federal do Ceará - Campus Quixadá. O curso foi ministrado virtualmente para 217 professores da educação básica. O relatório apresenta a metodologia e avaliação realizada com os professores. Como resultado da avaliação, constatou-se que o curso foi de grande relevância, visto que 77,8% dos professores conseguiram aplicar o conteúdo em sala de aula e 19,4% ainda pretendem aplicá-lo.","Palavras-chave:Letramento Digital, 													Ensino Remoto, 													Tecnologia da Informação",PDF,https://sol.sbc.org.br/index.php/wie/article/view/17845/17679,Publicado22/11/2021
1,"



				Início
			
/



				Todas as Edições
			
/



				2022: Anais do XXVIII Workshop de Informática na Escola
			
/


									Artigos Completos
						

",Márcia Gonçalves de OliveiraInstituto Federal do Espírito Santohttps://orcid.org/0000-0001-9027-0976Mônica Ferreira da SilvaInstituto Federal do Espírito SantoCaroline Borchardt RodriguesInstituto Federal do Espírito Santo,Curso Híbrido Baseado em Moocs de Lovelace e Oficinas Presenciais para Aprendizagem Ativa e Nobre de Pensamento Computacional e Programação,"ResumoO curso híbrido Moocs de Lovelace de Pensamento Computacional e Programação trata de uma ação gamificada criada no contexto de pandemia de Covid-19 para iniciação tecnológica de meninas do Ensino Fundamental e Médio de municípios do interior do Espírito Santo. A parte online do curso é realizada em Moocs sem tutoria. Já a parte presencial é realizada na forma de oficinas de aprendizagem ativa mediadas por tutores técnicos e pedagógicos. A execução do curso em pólos de EaD da Universidade Aberta do Brasil (UAB) de quatro municípios resultou na certificação de 102 estudantes, sendo a grande maioria formada por meninas. O curso trouxe como principal contribuição uma proposta didática diversificada, gamificada, ativa e nobre de ensino de computação combinando momentos online e presenciais com atividades plugadas e desplugadas visando promover mais alegria e êxitos de aprendizagem no ensino de Pensamento Computacional e Programação.","Palavras-chave:Pensamento Computacional, 													Programação, 													Aprendizagem Ativa, 													Curso Híbrido",PDF,https://sol.sbc.org.br/index.php/wie/article/view/22348/22172,Publicado16/11/2022
2,"



				Início
			
/



				Todas as Edições
			
/



				2013: Anais do XIX Workshop de Informática na Escola
			
/


									Artigos Completos
						

",Enyo J. T. GonçalvesUFCAnilson PimentaUAB,Pesquisa-ação Sobre Uso de Tecnologia da Informação no Ensino de Pessoas Surdas,"ResumoA história da comunidade surda vem acumulando conquistas durante séculos. Atualmente seus direitos à educação no Brasil são garantidos por leis e decretos, inclusive no ensino regular. No entanto, a realidade deste cenário muitas vezes aponta para o despreparo das pessoas ligadas direta ou indiretamente ao ensino dos surdos, como também o desconhecimento de algo indispensável: os mecanismos de tecnologia da informação disponíveis ao aprendizado dos mesmos. Este trabalho aborda a percepção do aluno surdo e de seus professores em relação ao uso de recursos de tecnologia da informação utilizados na Escola de Ensino Fundamental Centro Educacional de Mauriti. Os resultados foram analisados e confrontados com referências de diversos autores de modo a enriquecer o debate, de modo a dar subsídios para comprovar ou refutar a hipótese inicialmente levantada. De forma complementar, uma capacitação foi oferecida aos envolvidos na pesquisa com o intuito de promover uma atualização dos mesmos em relação aos recursos que podem ser utilizados para os alunos surdos.",No keywords available,PDF,https://sol.sbc.org.br/index.php/wie/article/view/16679/16521,Publicado25/11/2013
3,"



				Início
			
/



				Todas as Edições
			
/



				2013: Anais do XIX Workshop de Informática na Escola
			
/


									Artigos Completos
						

",Vanessa da Silva FerreiraUFRJMarcos da Fonseca EliaUFRJ,Uma modelagem conceitual para apoiar a identificação das causas da evasão escolar em EAD,"ResumoNeste artigo, apresentamos uma visão sistêmica do cenário da Educação à Distância Brasileira através do uso de modelagem conceitual, representada na forma de Redes Sistêmicas. Esta visão possibilitará o registro de paradigmas, especialmente os que retratam as causas da Evasão Escolar desta modalidade de ensino. Nosso foco é compartilhar uma Rede Sistêmica inicial estruturada a partir da análise de metadados para registro colaborativo dos paradigmas que possivelmente levam a evasão de tais cursos, indicados por coordenadores de Instituições de Ensino Superior.",No keywords available,PDF,https://sol.sbc.org.br/index.php/wie/article/view/16681/16523,Publicado25/11/2013
4,"



				Início
			
/



				Todas as Edições
			
/



				2013: Anais do XIX Workshop de Informática na Escola
			
/


									Artigos Resumidos
						

",Silvana CorbelliniUFRGSLuciane Corte RealUFRGS,Tecnologias e Projetos de Aprendizagem: da necessidade ao desejo - uma construção da cidadania na/pela cooperação,"ResumoO presente artigo é um estudo de caso que fez parte de um recortede uma pesquisa longitudinal realizado pelo Núcleo de Estudos emTecnologias Digitais na Educação da Universidade Federal do Rio Grande do Sul. O problema da pesquisa foi investigar como ocorre a interação de uma turma de alunos a partir do uso das Tecnologias da Informação e Comunicação e a metodologia dos Projetos de Aprendizagem (Fagundes,1999); bem como as consequências no processo de ensino-aprendizagem. O referencial teórico que norteou esse trabalho foi a Epistemologia Genética de Piaget. A implantação dessa proposta fomentou a autonomia dos alunos e alterou as relações entre os aprendizes.",No keywords available,PDF,https://sol.sbc.org.br/index.php/wie/article/view/16684/16526,Publicado25/11/2013
5,"



				Início
			
/



				Todas as Edições
			
/



				2012: Anais do XVIII Workshop de Informática na Escola
			
/


									Artigos Completos
						

",Marcos de Castro PintoUFRJMarcos da Fonseca EliaUFRJFábio Ferrentini SampaioUFRJ,Formação de professores em robótica educacional com Hardware Livre Arduino no contexto Um Computador por Aluno,"ResumoLidamos cotidianamente com artefatos tecnológicos que nos possibilitam comunicar, trabalhar, divertir, etc. A todo o momento estamos aprendendo e reaprendendo a operar todos estes artefatos, em um interminável processo de ensino-aprendizagem. A robótica aplicada na educação contribui em aproximar a escola deste ""mundo"" tecnológico, estimulando e motivando alunos e professores na construção de saberes nas mais variadas áreas do conhecimento. O presente trabalho tem o objetivo de apresentar a experiência obtida na aplicação de curso para formação de professores em robótica educacional, utilizando modelo pedagógico interativo e o hardware livre Arduino. em duas escolas participantes do programa governamental PROUCA: Um Computador por Aluno no município de Piraí, Rio de Janeiro.",No keywords available,PDF,https://sol.sbc.org.br/index.php/wie/article/view/18706/18536,Publicado26/11/2012
6,"



				Início
			
/



				Todas as Edições
			
/



				2014: Anais do XX Workshop de Informática na Escola
			
/


									Artigos Completos
						

",Mônica Norris RibeiroSecretaria Municipal de Educação de Piraí–RJAlessandro Carra VieiraSecretaria Municipal de Educação de Piraí–RJLuciano Pereira GeraldoSecretaria Municipal de Educação de Piraí–RJ,GINTEC: a experiência de uma gincana tecnológica no contexto de um computador por aluno,"ResumoO presente trabalho objetiva relatar a experiência de uma gincana tecnológica - I GINTEC na rede pública municipal de ensino de Piraí /RJ, durante os meses de fevereiro e março de 2014. Essa iniciativa mobilizou alunos dos 8º e 9º anos de escolaridade do ensino fundamental proporcionando a integração de tecnologia, na forma de laptops educacionais, com o currículo escolar em atividades de produção de conteúdos digitais. A gincana, organizada em 2 etapas - escolar e interescolar- propôs tarefas que envolveram conhecimentos de robótica, mídias, manutenção de hardware e utilização de redes sociais, relacionados a temas transversais como meio ambiente, solidariedade, consumo e trabalho e temais locais.",No keywords available,PDF,https://sol.sbc.org.br/index.php/wie/article/view/16584/16425,Publicado03/11/2014
7,"



				Início
			
/



				Todas as Edições
			
/



				2014: Anais do XX Workshop de Informática na Escola
			
/


									Artigos Resumidos
						

",Maria das Graças Bruno MariettoUFABCWagner Tanaka BotelhoUFABCJoão Carlos da Motta FerreiraUFABCEdson Pinheiro PimentelUFABC,Teoria da Aprendizagem Experiencial de Kolb e o Ciclo de Belhot Guiando o Uso de Simulações Computacionais no Processo Ensino Aprendizagem,"ResumoO objetivo principal deste trabalho é contribuir no repensar do uso de simulações computacionais no ensino superior. Uma proposta pedagógica é apresentada com a aplicação da Teoria da Aprendizagem Experiencial de Kolb e do ciclo de aprendizagem de Belhot para estruturar um conjunto de atividades de simulação computacional em laboratórios. O conteúdo escolhido para ser ensinado é a técnica Ant Colony Optimization, tendo sido adaptada e implementada no software RoboMind.",No keywords available,PDF,https://sol.sbc.org.br/index.php/wie/article/view/16637/16478,Publicado03/11/2014
8,"



				Início
			
/



				Todas as Edições
			
/



				2013: Anais do XIX Workshop de Informática na Escola
			
/


									Artigos Resumidos
						

",Cristina C. AlmeidaIFSULDEMINASLuciano P. CarvalhoIFSULDEMINAS,Licenciatura em Computação: Práticas de Ensino e PIBID como aliadas do processo formativo,"ResumoA Licenciatura em Computação do IFSULDEMINAS – Câmpus Machado busca capacitar os futuros educadores na área de informática para atuação nas redes de ensino, oferecendo-lhes uma visão tecnológica para que possam desempenhar suas atividades juntamente com profissionais de outras áreas. Contribuições foram detectadas, através principalmente das disciplinasque têm a prática de ensino como componente curricular como pano de fundo na elaboração de estratégias diferenciadas para o processo de ensino e aprendizagem, além da contribuição do PIBID (Programa Institucional de Bolsas de Iniciação à Docência) financiado pela CAPES (Coordenação de Aperfeiçoamento de Pessoal de Nível Superior) na formação docente.",No keywords available,PDF,https://sol.sbc.org.br/index.php/wie/article/view/16686/16528,Publicado25/11/2013
9,"



				Início
			
/



				Todas as Edições
			
/



				2013: Anais do XIX Workshop de Informática na Escola
			
/


									Artigos Resumidos
						

",Wender Antônio da SilvaFaculdade Estácio da AmazôniaOrnélio Hinterholz Jr.Faculdade Estácio da AmazôniaÂngelo Augusto Costa FreireFaculdade Estácio da AmazôniaGracieth Mendes ValenzuelaFaculdade Estácio da Amazônia,Projeto Incluir: inclusão digital para pessoas com deficiência,"ResumoEste trabalho descreve um projeto de inclusão digital para pessoas com necessidades especiais realizado na cidade de Boa Vista, estado de Roraima. Este projeto visa levar conhecimentos básicos de informática para que estas pessoas sejam incluídas digitalmente e socialmente, e ainda, levar noções de cidadania e de autonomia para pessoas em situação de risco e, por fim fez-se pesquisa sobre a evolução em aspectos sociais e profissionais destas pessoas ao terem contato com a informática.",No keywords available,PDF,https://sol.sbc.org.br/index.php/wie/article/view/16689/16531,Publicado25/11/2013
