Year,total_articles,articles_with_criterion,percentage,min_metrics
1987,58,0,0.0,60
1988,56,0,0.0,60
1989,24,0,0.0,60
1990,41,0,0.0,60
1991,15,0,0.0,60
1992,54,0,0.0,60
1993,75,0,0.0,60
1994,40,0,0.0,60
1995,50,0,0.0,60
1996,17,0,0.0,60
1997,57,0,0.0,60
1998,58,0,0.0,60
1999,23,0,0.0,60
2000,36,0,0.0,60
2001,53,0,0.0,60
2002,92,0,0.0,60
2003,51,0,0.0,60
2004,91,0,0.0,60
2005,95,0,0.0,60
2006,98,0,0.0,60
2007,102,0,0.0,60
2008,243,0,0.0,60
2009,254,0,0.0,60
2010,303,0,0.0,60
2011,326,0,0.0,60
2012,316,0,0.0,60
2013,399,0,0.0,60
2014,394,0,0.0,60
2015,455,0,0.0,60
2016,520,0,0.0,60
2017,683,0,0.0,60
2018,982,0,0.0,60
2019,1232,0,0.0,60
2020,954,0,0.0,60
2021,1446,0,0.0,60
2022,1252,0,0.0,60
2023,1784,1726,96.74887892376681,60
2024,2332,2281,97.81303602058318,60
2025,2097,2064,98.42632331902719,60
