Year,total_articles,articles_with_criterion,percentage,min_metrics
1987,58,0,0.0,80
1988,56,0,0.0,80
1989,24,0,0.0,80
1990,41,0,0.0,80
1991,15,0,0.0,80
1992,54,0,0.0,80
1993,75,0,0.0,80
1994,40,0,0.0,80
1995,50,0,0.0,80
1996,17,0,0.0,80
1997,57,0,0.0,80
1998,58,0,0.0,80
1999,23,0,0.0,80
2000,36,0,0.0,80
2001,53,0,0.0,80
2002,92,0,0.0,80
2003,51,0,0.0,80
2004,91,0,0.0,80
2005,95,0,0.0,80
2006,98,0,0.0,80
2007,102,0,0.0,80
2008,243,0,0.0,80
2009,254,0,0.0,80
2010,303,0,0.0,80
2011,326,0,0.0,80
2012,316,0,0.0,80
2013,399,0,0.0,80
2014,394,0,0.0,80
2015,455,0,0.0,80
2016,520,0,0.0,80
2017,683,0,0.0,80
2018,982,0,0.0,80
2019,1232,0,0.0,80
2020,954,0,0.0,80
2021,1446,0,0.0,80
2022,1252,0,0.0,80
2023,1784,934,52.3542600896861,80
2024,2332,1296,55.57461406518011,80
2025,2097,1148,54.744873628993794,80
