,Event,Authors,Title,Abstract,Keywords,Publisher,URL_Paper,Date
0,"



				Início
			
/



				Todas as Edições
			
/



				2023: Anais da XVIII Escola Regional de Banco de Dados
			
/


									Artigos de Aplicações e Experiências
						

",Luiz Henrique B. LagoUFSMSérgio Luís S. MergenUFSM,Implementação de Banco de Dados para uso como laboratório experimental,"ResumoEste artigo descreve a implementação e o funcionamento de um banco dados voltado para o uso como um laboratório experimental, em especial para o ensino e pesquisa da implementação de um SGBD. Neste artigo, serão discutidas a arquitetura de camadas na qual o banco de dados foi implementado e algumas noções básicas de cada camada do sistema, assim como as interfaces de comunicação entre estas camadas.",No keywords available,PDF,https://sol.sbc.org.br/index.php/erbd/article/view/24354/24177,Publicado11/04/2023
1,"



				Início
			
/



				Todas as Edições
			
/



				2023: Anais da XVIII Escola Regional de Banco de Dados
			
/


									Artigos de Pesquisa
						

",Mateus R. FigênioUTFPRLuiz Gomes-JrUTFPR,Ética na era dos Modelos de Linguagem Massivos (LLMs): um estudo de caso do ChatGPT,"ResumoEste artigo tem como objetivo discutir questões éticas relacionadas ao ChatGPT, um modelo de linguagem de estilo conversacional. A partir de trabalhos correlatos que fundamentam o conceito de Modelos de Linguagem Massivos (LLMs) e que trabalham paradigmas de análise ética e boas práticas para o desenvolvimento de Inteligências Artificiais (IA), exploramos como o ChatGPT perpetua problemas já reconhecidos de LLMs e observamos que sua maior capacidade de generalização aumenta perigos de enviesamento e preconceito. Concluímos reforçando apelos por maiores incentivos à diminuição de esforços por maiores modelos, em favor de esforços por bases de dados melhor documentadas, modelos interpretáveis e por abordagens voltadas ao entendimento de linguagem.",No keywords available,PDF,https://sol.sbc.org.br/index.php/erbd/article/view/24351/24174,Publicado11/04/2023
2,"



				Início
			
/



				Todas as Edições
			
/



				2023: Anais da XVIII Escola Regional de Banco de Dados
			
/


									Artigos de Aplicações e Experiências
						

",Alcides de V. A. JúniorUTFPRMarcelo G. da CostaUTFPRMariana G. da LuzUTFPRNádia P. KozievitchUTFPR,Vocações Econômicas de Curitiba: Um Estudo a Partir de Uma Base de Dados Aberta,"ResumoEm muitas cidades, a distribuição da atividade econômica ocorre de maneira heterogênea, de forma que ruas concentram mais estabelecimentos de tipos específicos do que de outros. O objetivo deste trabalho é verificar se a cidade possui vocações econômicas de acordo com seus bairros e ruas. Com técnicas de geographic information system (GIS) e Banco de Dados, realizou-se a análise dos dados e se forneceu o suporte às principais conclusões. Para isso, dados abertos de alvarás relacionados a pólos gastronônimocos de Curitiba foram utilizados.",No keywords available,PDF,https://sol.sbc.org.br/index.php/erbd/article/view/24357/24180,Publicado11/04/2023
3,"



				Início
			
/



				Todas as Edições
			
/



				2023: Anais da XVIII Escola Regional de Banco de Dados
			
/


									Artigos de Pesquisa
						

",Thiago Sant’Helena da SilvaUFSCRonaldo dos Santos MelloUFSC,Switch: Executando SPARQL sobre o Neo4j,"ResumoEste artigo detalha Switch, uma abordagem que facilita a construção de triplestores que suportam consultas utilizando SPARQL e armazenam dados no Neo4j. Para isso, são utilizados conceitos de processamento de linguagens e geração de código através de ações semânticas. A solução foi desenvolvida e é capaz de traduzir diversos tipos de consultas SPARQL. Experimentos demonstraram que a solução é viável em termos de tempo de processamento.",No keywords available,PDF,https://sol.sbc.org.br/index.php/erbd/article/view/24341/24164,Publicado11/04/2023
4,"



				Início
			
/



				Todas as Edições
			
/



				2023: Anais da XVIII Escola Regional de Banco de Dados
			
/


									Artigos de Pesquisa
						

",Lucas L. da SilvaUTFPRMariana G. da LuzUTFPRNádia P. KozievitchUTFPRRita BerardiUTFPR,Pontualidade do Transporte Público de Curitiba: Uma Visão a Partir de Dados Abertos,"ResumoEste trabalho tem como objetivo a análise da pontualidade das linhas de ônibus Interbairros II e Santa Cândida/Capão Raso de Curitiba por serem de diferentes tipos de linhas e possuírem diferentes extensões de itinerário. Para isso, são adaptados os algoritmos para detecção da direção de deslocamento dos ônibus, mapeamento dos horários de passagem dos veículos em sua rota e pontualidade das linhas. Os resultados obtidos mostraram que a metodologia pode ser generalizada outros tipos de linhas de ônibus, com pontos de ônibus e veículos diferenciados.",No keywords available,PDF,https://sol.sbc.org.br/index.php/erbd/article/view/24347/24170,Publicado11/04/2023
5,"



				Início
			
/



				Todas as Edições
			
/



				2023: Anais da XVIII Escola Regional de Banco de Dados
			
/


									Artigos de Aplicações e Experiências
						

",Eduardo L. AlbaIFPRPâmela C. ZiniColégio Hercílio Bueno de CamargoBruno G. TrindadeIFPRAndréia MariniIFPR,Visualização de dados na gestão pública: Uma abordagem com Storytelling de dados,"ResumoCom o objetivo de destacar a importância das técnicas de visualização de dados, como storytelling de dados e dashboards, no processo de tomada de decisão na gestão pública, o presente trabalho busca descrever como essas técnicas foram implementadas no software Prefeitura Interativa. O ambiente de apoio à decisão foi elaborado para auxiliar a administração pública municipal na gestão de políticas públicas e na busca por soluções mais eficientes para as demandas que afetam a população local. Por meio de uma abordagem colaborativa, o software permite a aplicação de técnicas específicas de coleta e visualização de dados para melhorar a análise e interpretação de informações relevantes para a tomada de decisão.",No keywords available,PDF,https://sol.sbc.org.br/index.php/erbd/article/view/24356/24179,Publicado11/04/2023
6,"



				Início
			
/



				Todas as Edições
			
/



				2023: Anais da XVIII Escola Regional de Banco de Dados
			
/


									Artigos de Pesquisa
						

",Eduardo DarrazãoUTFPRVictor AmorimUTFPRKrerley OliveiraUFALLuiz Gomes-JrUTFPR,Engenharia e Avaliação de Features para Extração de Informação em Notas Fiscais,"ResumoA correta identificação dos elementos constantes em notas fiscais eletrônicas é importante para diversas questões de fiscalização e transparência governamental, como identificação de sobrepreço em licitações públicas. Porém, esta identificação é um desafio tanto pela diversidade de produtos, quanto pelas variações e erros de preenchimento. Este artigo aplica técnicas de estado-da-arte em extração de informação para avaliar os melhores conjuntos de features para se aplicar em notas fiscais eletrônicas brasileiras. Os testes utilizaram dados de notas fiscais de medicamentos emitidas no Piauí em 2021.",No keywords available,PDF,https://sol.sbc.org.br/index.php/erbd/article/view/24349/24172,Publicado11/04/2023
7,"



				Início
			
/



				Todas as Edições
			
/



				2019: Anais da XV Escola Regional de Banco de Dados
			
/


									Artigos de Pesquisa
						

",Bruno AgostinhoUFSCGeomar SchreinerUFSCFernanda GomesUFSCAlex Sandro PintoUFSCMário DantasUFJF,Unificação de Dados de Saúde Através do Uso de Blockchain e Smart Contracts,"ResumoNos últimos anos houveram diversas propostas visando a centralização e manipulação de dados de saúde, como prontuário eletrônico do cidadão. Por se tratarem de dados altamente sigiloso, problemas de como garantir a confidencialidade dos dados sempre foram um entrave. O surgimento de tecnologias como blockchains e smart contracts vem trazendo novas abordagens possı́veis na manipulação desses dados. Este trabalho apresenta uma proposta de utilização de blockchain em conjunto com smart contracts para centralização e compartilhamento de dados de saúde. Experimentos preliminares demonstraram a viabilidade do armazenamento e recuperação dos dados de forma segura, através da utilização de dois pares de chaves assimétricas.","Palavras-chave:Blockchain, 													Dados de Saúde, 													Smart Contracts",PDF,https://sol.sbc.org.br/index.php/erbd/article/view/8476/8377,Publicado10/04/2019
8,"



				Início
			
/



				Todas as Edições
			
/



				2019: Anais da XV Escola Regional de Banco de Dados
			
/


									Artigos de Pesquisa
						

",Matheus KageyamaUTFPRNádia KozievitchUnicampRita BernardiUTFPR,Acidentes nas rodovias brasileiras nos últimos 10 anos: uma análise com dados abertos,"ResumoAnalisar dados públicos com o intuito de gerar informações relevantes à sociedade é um tema que vem sendo discutido nos últimos anos, principalmente devido à facilidade de acesso a muitos desses dados que estão disponibilizados de forma aberta na Web. Tendo isso em vista, o objetivo desse trabalho é explorar os números de acidentes de trânsito e suas caracterı́sticas, como localização, mortalidade, tipo de via, entre outros, com o intuito de prover análises que possam auxiliar na compreensão e caracterização dessas ocorrências, utilizando-se do auxı́lio de tecnologias para manipulação de informações geoespaciais.","Palavras-chave:Tráfico Rodovias, 													Mortalidade, 													Geolocalização",PDF,https://sol.sbc.org.br/index.php/erbd/article/view/8480/8381,Publicado10/04/2019
9,"



				Início
			
/



				Todas as Edições
			
/



				2019: Anais da XV Escola Regional de Banco de Dados
			
/


									Artigos de Aplicações e Experiências
						

",João Luiz FernandesFURBAurélio HoppeFURBChristian KrambeckFURBRosemeri LaurindoFURBJulio Cesar RefoscoFURBRalf Marcos EhmkeFURB,Consolidação de Bases para o Diagnóstico do Distrito de Inovação de Blumenau,"ResumoEste artigo apresenta o processo de consolidação das bases de dados do Instituto Brasileiro de Geografia e Estatística (IBGE), OpenStreetMaps (OSM) e da Prefeitura Municipal de Blumenau (PMB), tendo como intuito fazer o diagnóstico quanto aos aspectos socioeconômicos e de desenvolvimento dos bairros Victor Konder e Itoupava Seca da cidade de Blumenau, podendo ser adaptado para o diagnóstico de outras regiões. Tais informações se mostram pertinentes para a compreensão do distrito e também consideráveis para o planejamento de políticas e ações que venham a ocorrer na região considerando cinco eixos: cidade, pessoas, ambiente, economia e mobilidade.","Palavras-chave:Integração de Banco de Dados, 													Diagnóstico Socioeconômico, 													Blumenau",PDF,https://sol.sbc.org.br/index.php/erbd/article/view/8483/8384,Publicado10/04/2019
