metric,ref_period,year,n_ref,n_year,mean_ref,mean_year,diff,t_value,p_raw,effect_size_d,p_fdr,significant
add_neg_conn_ratio,2020–2022,2023,3680,1796,0.0025785691727453555,0.0025184521158129174,-6.011705693243809e-05,0.41898543050376846,0.6752513240545266,-0.01199258557275417,,False
add_neg_conn_ratio,2020–2022,2024,3680,2447,0.0025785691727453555,0.0020150143149284252,-0.0005635548578169303,4.49560824099167,7.077328313371622e-06,-0.11607243323726199,,False
add_neg_conn_ratio,2020–2022,2025,3680,2143,0.0025785691727453555,0.002466565562295847,-0.00011200361044950849,0.8131583994293886,0.4161702011290116,-0.022073514541143317,,False
add_pos_conn_ratio,2020–2022,2023,3680,1796,0.043313786477325825,0.042748240534521156,-0.0005655459428046683,0.9736000063953073,0.33032006818929993,-0.027921927903790972,,False
add_pos_conn_ratio,2020–2022,2024,3680,2447,0.043313786477325825,0.044161038854805726,0.0008472523774799012,-1.5023976209142067,0.13305865878664355,0.039534153663212133,,False
add_pos_conn_ratio,2020–2022,2025,3680,2143,0.043313786477325825,0.049810317312179185,0.00649653083485336,-11.400170237683346,1.0988624960732506e-29,0.31132331161195903,,False
adj_arg_ovl,2020–2022,2023,3680,1796,1.6160752225553503,1.5465668318485524,-0.06950839070679793,1.7751688008580762,0.07595543736640416,-0.05109854925136147,,False
adj_arg_ovl,2020–2022,2024,3680,2447,1.6160752225553503,1.394606245398773,-0.2214689771565772,6.4174150112007196,1.5042045728008062e-10,-0.16660306033480596,,False
adj_arg_ovl,2020–2022,2025,3680,2143,1.6160752225553503,1.0579869295380306,-0.5580882930173197,17.18600077688964,1.8720936597745813e-64,-0.4532269607232687,,False
adj_cw_ovl,2020–2022,2023,3680,1796,1.8270620971563742,1.742022973273942,-0.08503912388243218,1.985579568509202,0.04715524184862995,-0.05695622124863483,,False
adj_cw_ovl,2020–2022,2024,3680,2447,1.8270620971563742,1.547634200408998,-0.2794278967473762,7.39908323904244,1.5783734122658156e-13,-0.19164528828256677,,False
adj_cw_ovl,2020–2022,2025,3680,2143,1.8270620971563742,1.1882387867475501,-0.6388233104088241,17.817204870415903,5.17955449005524e-69,-0.4693806477194145,,False
adj_stem_ovl,2020–2022,2023,3680,1796,2.309949605551189,2.178402288418708,-0.13154731713248058,2.685064873175144,0.007284122903809404,-0.07681153697107569,,False
adj_stem_ovl,2020–2022,2024,3680,2447,2.309949605551189,1.9307156523517381,-0.37923395319945064,8.721577374821397,3.583481440353352e-18,-0.22574353647311504,,False
adj_stem_ovl,2020–2022,2025,3680,2143,2.309949605551189,1.4962212599160059,-0.8137283456351829,19.818425505099572,2.0579016130021825e-84,-0.5208553255280353,,False
adjacent_refs,2020–2022,2023,3680,1796,0.09867291671653851,0.09007082405345211,-0.008602092663086397,0.7870683927245223,0.43128604553258787,-0.021915020759536597,,False
adjacent_refs,2020–2022,2024,3680,2447,0.09867291671653851,0.07455063803680981,-0.0241222786797287,2.543734440544342,0.010992040781348963,-0.06431816276103584,,False
adjacent_refs,2020–2022,2025,3680,2143,0.09867291671653851,0.04412592627158189,-0.05454699044495662,6.050229781270144,1.5366295864862874e-09,-0.1541095467634145,,False
adjective_ratio,2020–2022,2023,3680,1796,0.07308249837005404,0.07300284521158129,-7.965315847274779e-05,0.09323167352245992,0.9257246645154198,-0.002674421603604491,,False
adjective_ratio,2020–2022,2024,3680,2447,0.07308249837005404,0.073316163599182,0.00023366522912796062,-0.2765622444524027,0.7821281454154947,0.007298686236328822,,False
adjective_ratio,2020–2022,2025,3680,2143,0.07308249837005404,0.0853354129724685,0.012252914602414455,-13.978283922563431,2.0643797859321654e-43,0.3851232034398899,,False
adjectives_ambiguity,2020–2022,2023,3680,1796,2.550344799833729,2.488252783964365,-0.06209201586936386,1.5061156709946086,0.13211950360233998,-0.04270215750661906,,False
adjectives_ambiguity,2020–2022,2024,3680,2447,2.550344799833729,2.2596987034764826,-0.29064609635724636,7.669774564503203,2.0252364099068235e-14,-0.19859611493604878,,False
adjectives_ambiguity,2020–2022,2025,3680,2143,2.550344799833729,2.310492683154456,-0.23985211667927286,6.3949927076130475,1.7503000426700435e-10,-0.17015304826323832,,False
adverbs,2020–2022,2023,3680,1796,0.018016713984260607,0.017244270601336303,-0.0007724433829243045,1.5803646635379367,0.11411886217811835,-0.04612673016097892,,False
